,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
293,48,470.0,flat,80.0,False,1,1,Toledo,Fuensalida,False,59351,False,good,False,False,False,False,1,True,unknown,unknown
294,24,550.0,flat,76.0,True,2,1,Toledo,Yuncos,False,38544,False,good,False,False,False,False,2,True,True,True
295,23,750.0,flat,109.0,True,2,2,Madrid,Valdemoro,False,24455,False,good,False,False,False,False,3,True,True,True
296,16,749.0,flat,38.0,True,1,1,Madrid,Madrid,True,6506,False,good,False,False,False,True,2,True,True,True
297,7,700.0,studio,30.0,False,0,1,Madrid,Madrid,False,2411,False,good,False,False,False,False,bj,True,unknown,unknown
298,15,667.0,flat,70.0,True,1,1,Madrid,Parla,True,21185,False,good,False,False,False,False,8,True,True,True
299,22,725.0,flat,45.0,False,1,1,Madrid,Madrid,False,10398,False,good,False,False,False,False,1,True,True,True
300,21,550.0,penthouse,70.0,True,3,1,Madrid,Robledo de Chavela,False,47595,False,good,False,False,False,False,3,False,True,True
301,29,695.0,flat,55.0,True,3,1,Madrid,Parla,False,19765,True,good,False,True,False,True,4,False,unknown,unknown
302,26,675.0,flat,84.0,True,2,2,Toledo,Seseña,False,31489,False,good,False,False,False,False,2,True,True,True
303,35,750.0,flat,105.0,True,3,1,Madrid,Campo Real,False,28810,False,good,False,False,False,False,1,False,unknown,unknown
304,24,699.0,flat,52.0,True,1,1,Madrid,Madrid,True,7092,False,good,False,False,False,False,3,True,True,True
305,18,750.0,studio,32.0,True,0,1,Madrid,Madrid,False,5006,True,good,False,False,False,False,14,True,unknown,unknown
306,14,730.0,flat,80.0,True,3,1,Madrid,Collado Villalba,False,35774,False,good,False,False,False,False,4,False,unknown,unknown
307,25,340.0,flat,50.0,True,1,1,Toledo,Fuensalida,False,58969,False,good,False,True,False,False,1,False,True,True
308,27,710.0,flat,30.0,True,1,1,Madrid,Madrid,False,1156,True,good,False,True,False,True,bj,False,unknown,unknown
309,20,650.0,flat,58.0,True,1,1,Madrid,Madrid,True,5924,False,good,False,False,False,False,4,True,unknown,unknown
310,19,600.0,countryHouse,60.0,False,2,2,Madrid,Villaviciosa de Odón,True,23776,True,renew,False,False,False,False,unknown,unknown,unknown,unknown
311,28,740.0,flat,41.0,True,2,1,Madrid,Madrid,False,8358,True,good,False,True,False,True,3,False,unknown,unknown
312,25,525.0,flat,40.0,True,1,1,Madrid,Aranjuez,False,43059,True,good,False,True,False,True,3,True,unknown,unknown
313,11,750.0,studio,35.0,True,0,1,Madrid,Madrid,False,1272,False,good,False,False,False,False,4,False,unknown,unknown
314,28,750.0,flat,74.0,True,3,1,Madrid,Alcalá de Henares,False,29245,True,good,False,True,False,True,2,True,unknown,unknown
315,22,685.0,flat,84.0,True,2,2,Toledo,Seseña,False,32215,False,good,False,False,False,False,6,True,True,True
316,25,710.0,flat,69.0,True,3,1,Madrid,Alcalá de Henares,False,28440,True,good,False,True,False,True,5,True,unknown,unknown
317,27,560.0,studio,46.0,True,0,1,Madrid,Madrid,False,3786,True,good,False,True,False,True,bj,False,unknown,unknown
318,36,500.0,duplex,70.0,True,3,2,Toledo,Casarrubios del Monte,False,38592,False,good,False,False,False,False,2,True,True,True
319,25,600.0,flat,42.0,True,1,1,Madrid,Torrejón de Ardoz,False,18905,False,good,False,False,False,False,bj,False,unknown,unknown
320,40,600.0,penthouse,69.0,True,3,1,Segovia,El Espinar,True,56418,False,good,False,True,True,False,4,True,True,True
321,28,460.0,flat,85.0,True,1,1,Toledo,Casarrubios del Monte,False,38210,False,good,False,False,False,False,1,True,True,True
322,10,460.0,flat,55.0,True,1,1,Toledo,Mocejón,True,55947,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
323,17,720.0,flat,44.0,True,1,1,Madrid,Madrid,False,3589,False,good,False,True,False,False,ss,False,unknown,unknown
324,12,750.0,flat,60.0,True,2,1,Madrid,Madrid,False,2591,False,good,False,False,False,False,unknown,False,unknown,unknown
325,5,750.0,flat,42.0,False,1,1,Madrid,Madrid,True,2762,False,good,False,False,False,False,4,True,unknown,unknown
326,15,750.0,studio,90.0,True,0,1,Madrid,Madrid,False,7228,False,good,False,False,False,False,4,True,unknown,unknown
327,16,650.0,studio,45.0,False,0,1,Madrid,Madrid,True,3807,True,good,False,True,False,False,bj,True,unknown,unknown
328,21,650.0,flat,59.0,True,1,1,Madrid,Parla,False,20637,True,good,False,False,False,False,2,True,unknown,unknown
329,61,670.0,flat,75.0,True,2,1,Madrid,Arganda,False,27056,False,good,False,False,False,False,3,True,True,True
330,17,600.0,flat,70.0,True,3,1,Segovia,San Ildefonso o la Granja,False,59919,False,good,False,False,False,False,2,False,unknown,unknown
331,16,650.0,flat,45.0,True,1,1,Madrid,Getafe,True,12383,False,newdevelopment,True,True,False,False,2,True,unknown,unknown
332,39,600.0,duplex,70.0,True,2,1,Toledo,Alameda de la Sagra,False,45419,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
333,7,750.0,flat,32.0,True,1,1,Madrid,Madrid,False,5339,False,good,False,False,False,False,2,True,unknown,unknown
334,19,725.0,flat,50.0,True,1,1,Madrid,Madrid,False,5564,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
335,17,620.0,studio,20.0,False,0,1,Madrid,Madrid,True,1893,False,good,False,False,False,False,1,True,unknown,unknown
336,51,500.0,flat,125.0,True,3,2,Segovia,El Espinar,False,56620,False,good,False,True,False,False,3,False,True,True
337,32,400.0,flat,100.0,True,3,2,Toledo,Cabañas de la Sagra,False,49933,False,good,False,True,False,False,2,True,True,True
338,17,680.0,flat,35.0,True,1,1,Madrid,Madrid,True,3308,False,good,False,False,False,False,bj,False,unknown,unknown
339,7,750.0,flat,87.0,True,3,1,Madrid,Coslada,False,12519,False,good,False,False,False,False,bj,True,unknown,unknown
340,10,350.0,flat,53.0,True,1,1,Ávila,Las Navas del Marqués,False,57144,False,good,False,False,False,False,1,True,unknown,unknown
341,15,400.0,flat,128.0,False,4,2,Toledo,Villaseca de la Sagra,False,52756,False,good,False,False,False,False,4,True,unknown,unknown
342,16,670.0,flat,53.0,True,1,1,Madrid,Getafe,True,12383,False,newdevelopment,True,True,False,False,1,True,unknown,unknown
343,28,600.0,flat,75.0,True,3,1,Madrid,Alcalá de Henares,False,28756,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
344,11,750.0,flat,70.0,True,2,1,Madrid,Alcorcón,False,12614,False,good,False,False,False,False,4,False,True,False
345,22,660.0,flat,91.0,True,2,2,Toledo,Seseña,False,32282,False,good,False,False,False,False,5,True,unknown,unknown
346,15,700.0,flat,36.0,True,2,1,Madrid,Pozuelo de Alarcón,False,9525,False,good,False,False,False,False,3,False,unknown,unknown
347,13,695.0,flat,58.0,False,1,1,Madrid,Madrid,False,5659,True,good,False,True,False,True,1,True,unknown,unknown
348,28,710.0,flat,66.0,True,1,1,Madrid,Arganda,False,25013,False,good,False,False,False,False,2,True,True,True
349,29,700.0,duplex,120.0,True,3,3,Guadalajara,Yebes,False,53820,False,good,False,False,False,False,unknown,True,True,True
350,23,620.0,flat,80.0,True,2,1,Madrid,Bustarviejo,False,49280,False,good,False,False,False,False,2,False,True,True
351,21,475.0,flat,46.0,False,1,1,Segovia,San Ildefonso o la Granja,False,57650,False,good,False,False,False,False,bj,False,unknown,unknown
352,21,500.0,flat,100.0,True,3,1,Toledo,Fuensalida,False,59106,False,good,False,False,False,False,3,False,unknown,unknown
353,22,700.0,flat,80.0,True,3,1,Madrid,Collado Mediano,True,40907,False,good,False,False,False,False,1,False,True,True
354,47,715.0,flat,89.0,True,3,1,Madrid,Chinchón,False,39316,False,good,False,False,False,False,bj,False,unknown,unknown
355,30,650.0,flat,70.0,True,2,1,Guadalajara,Guadalajara,True,50516,False,good,False,False,False,False,3,False,unknown,unknown
356,21,750.0,flat,50.0,True,1,1,Madrid,Madrid,True,11203,False,good,False,False,False,False,1,True,True,True
357,11,750.0,flat,45.0,True,1,1,Madrid,Madrid,False,8426,False,good,False,True,False,False,2,True,True,True
358,48,430.0,flat,60.0,True,1,1,Toledo,Valmojado,False,40108,True,good,False,False,False,False,1,True,unknown,unknown
359,23,380.0,penthouse,50.0,True,1,1,Segovia,San Ildefonso o la Granja,False,59674,False,good,False,False,False,False,5,False,unknown,unknown
360,20,550.0,studio,25.0,False,0,1,Madrid,Madrid,False,4650,False,good,False,False,False,False,bj,False,unknown,unknown
361,34,550.0,flat,71.0,True,1,1,Segovia,San Ildefonso o la Granja,False,59601,False,good,False,False,False,False,bj,False,unknown,unknown
362,22,730.0,flat,60.0,True,1,1,Madrid,Colmenar Viejo,False,27803,False,good,False,False,False,False,unknown,False,unknown,unknown
363,54,700.0,chalet,189.0,False,4,3,Toledo,Camarena,False,50661,False,good,False,False,False,False,unknown,unknown,True,True
364,28,750.0,penthouse,46.0,True,2,1,Madrid,Madrid,False,3889,False,good,False,False,False,False,4,True,unknown,unknown
365,10,500.0,flat,80.0,True,2,1,Segovia,El Espinar,False,58500,False,good,False,False,False,False,unknown,True,unknown,unknown
366,16,700.0,flat,45.0,True,1,1,Madrid,Coslada,False,13887,False,good,False,False,False,False,bj,False,unknown,unknown
367,15,680.0,flat,85.0,True,2,1,Madrid,Coslada,False,13303,False,renew,False,False,False,False,bj,True,unknown,unknown
368,16,700.0,flat,97.0,True,2,2,Toledo,Seseña,True,32308,False,good,False,False,False,False,6,True,True,True
369,19,600.0,flat,28.0,False,1,1,Madrid,Madrid,True,4418,True,good,False,False,False,False,4,False,unknown,unknown
370,15,620.0,flat,97.0,True,2,2,Toledo,Seseña,True,31278,False,good,False,False,False,False,1,True,True,True
371,33,750.0,duplex,100.0,True,2,2,Guadalajara,Guadalajara,True,51395,False,good,False,False,False,False,unknown,True,True,True
372,8,550.0,flat,79.0,True,2,2,Toledo,Ocaña,False,53302,False,good,False,True,False,False,1,True,unknown,unknown
373,24,690.0,flat,88.0,True,2,2,Guadalajara,Alovera,False,43335,False,good,False,False,False,False,2,True,True,True
374,21,750.0,flat,80.0,True,2,1,Madrid,Colmenarejo,False,30995,False,good,False,False,False,False,1,False,True,True
375,4,700.0,flat,62.0,True,1,1,Madrid,Alcorcón,False,13040,False,good,False,False,False,False,2,True,unknown,unknown
376,18,690.0,flat,77.0,True,2,1,Madrid,Madrid,True,7283,False,good,False,False,False,False,bj,True,True,True
377,15,700.0,flat,50.0,True,1,1,Madrid,Madrid,False,7844,False,good,False,False,False,False,bj,False,unknown,unknown
378,13,750.0,flat,87.0,True,2,1,Madrid,Coslada,True,13773,False,good,False,False,False,False,5,True,unknown,unknown
379,26,650.0,flat,176.0,True,3,2,Toledo,Lominchar,False,42423,False,good,False,False,False,False,1,True,True,True
380,15,735.0,flat,51.0,True,1,1,Madrid,Getafe,False,14023,False,good,False,False,False,False,4,True,True,True
381,15,700.0,flat,80.0,True,3,1,Madrid,Móstoles,True,17777,False,good,False,False,False,False,5,True,unknown,unknown
382,17,725.0,flat,75.0,True,3,1,Madrid,Fuenlabrada,False,16247,False,good,False,False,False,False,unknown,False,unknown,unknown
383,17,675.0,penthouse,80.0,True,2,1,Guadalajara,Guadalajara,True,51644,False,good,False,True,False,False,3,False,True,True
384,20,733.0,flat,68.4,True,2,1,Madrid,Alcalá de Henares,False,28541,False,good,False,False,True,False,2,True,True,True
385,19,750.0,flat,36.0,True,1,1,Madrid,Madrid,False,4237,True,good,False,False,False,False,bj,True,unknown,unknown
386,20,675.0,flat,69.0,True,2,1,Madrid,Madrid,True,5656,False,good,False,False,False,False,bj,False,unknown,unknown
387,23,650.0,flat,85.0,True,2,1,Madrid,Guadarrama,True,43066,True,good,False,False,False,False,2,False,unknown,unknown
388,15,730.0,flat,52.0,True,1,1,Madrid,Madrid,False,5879,True,good,False,False,False,False,bj,True,unknown,unknown
389,19,700.0,flat,97.0,True,1,1,Madrid,Loeches,True,24605,False,good,False,False,False,False,bj,True,unknown,unknown
390,27,650.0,flat,87.0,False,2,2,Toledo,Seseña,False,31437,False,good,False,False,False,False,3,True,True,True
391,12,690.0,studio,38.0,False,0,1,Madrid,Madrid,False,5798,True,good,False,True,False,True,2,True,True,True
392,23,700.0,flat,70.0,True,2,1,Madrid,Guadarrama,True,43166,False,good,False,False,False,False,1,False,unknown,unknown
393,24,600.0,duplex,89.0,True,2,2,Madrid,Miraflores de la Sierra,False,44474,False,good,False,False,False,False,2,False,unknown,unknown
394,18,700.0,studio,25.0,False,0,1,Madrid,Madrid,False,691,False,good,False,False,False,False,bj,False,unknown,unknown
395,21,690.0,flat,60.0,True,2,1,Madrid,Sevilla la Nueva,False,29005,False,good,False,False,False,False,bj,False,unknown,unknown
396,25,620.0,flat,98.0,True,2,2,Guadalajara,Yebes,False,54139,False,good,False,False,False,False,1,True,True,True
397,35,750.0,duplex,114.0,True,3,3,Madrid,Serranillos del Valle,True,28099,False,good,False,False,False,False,1,False,unknown,unknown
398,32,750.0,chalet,160.0,False,3,3,Toledo,Santa Cruz del Retamar,True,56238,False,good,False,False,False,False,unknown,unknown,unknown,unknown
399,35,700.0,flat,95.0,True,2,2,Guadalajara,Guadalajara,False,52456,False,good,False,False,False,False,1,True,True,True
400,24,605.0,flat,87.0,True,2,2,Guadalajara,Yebes,False,54114,False,good,False,False,False,False,2,True,True,True
401,27,645.0,flat,104.0,True,2,2,Guadalajara,Yebes,False,54019,False,good,False,False,False,False,2,True,True,True
402,28,750.0,flat,104.0,True,2,2,Guadalajara,Yebes,False,54032,False,good,False,False,False,False,bj,True,True,True
403,31,700.0,studio,51.0,True,0,1,Madrid,Madrid,False,8471,True,good,False,False,False,False,bj,False,unknown,unknown
404,32,670.0,flat,61.0,True,1,1,Madrid,Collado Villalba,False,35136,False,good,False,False,False,False,bj,True,True,True
405,13,700.0,flat,75.0,True,2,2,Guadalajara,Guadalajara,False,53378,False,good,False,False,False,False,3,True,True,True
406,15,750.0,flat,80.0,True,2,1,Madrid,Valdemoro,False,25085,False,good,False,False,False,False,4,True,unknown,unknown
407,28,750.0,countryHouse,341.0,False,2,1,Toledo,Las Ventas de Retamosa,False,45173,False,good,False,False,False,False,unknown,unknown,True,True
408,24,740.0,studio,33.0,True,0,1,Madrid,Madrid,False,8322,False,good,False,False,False,False,bj,True,unknown,unknown
409,19,750.0,flat,110.0,True,4,2,Madrid,Colmenar Viejo,False,27976,False,good,False,False,False,False,1,False,unknown,unknown
410,9,750.0,flat,62.0,True,2,1,Madrid,Madrid,False,5703,False,good,False,True,False,False,3,False,unknown,unknown
411,21,750.0,studio,70.0,True,0,1,Madrid,San Sebastián de los Reyes,True,16273,True,good,False,False,False,False,bj,True,True,True
412,11,650.0,studio,28.0,True,0,1,Madrid,Madrid,False,5399,False,good,False,False,False,False,bj,False,unknown,unknown
413,18,625.0,flat,51.0,True,1,1,Madrid,Arganda,False,25010,True,good,False,False,False,False,2,True,True,True
414,18,700.0,flat,35.0,True,1,1,Madrid,Madrid,False,2266,True,good,False,False,False,False,bj,True,unknown,unknown
415,25,525.0,flat,57.0,True,1,1,Toledo,Illescas,False,34558,False,good,False,False,False,False,2,True,True,True
416,25,750.0,flat,95.0,True,2,2,Madrid,Colmenarejo,False,30759,False,good,False,False,False,False,1,False,unknown,unknown
417,39,600.0,flat,120.0,True,2,2,Guadalajara,Yebes,False,54075,False,good,False,False,False,False,bj,True,True,True
418,30,725.0,flat,108.0,True,3,2,Guadalajara,Alovera,False,42596,False,good,False,False,False,False,1,True,True,True
419,37,600.0,studio,25.0,False,0,1,Madrid,Madrid,False,3812,True,good,False,False,False,False,bj,False,unknown,unknown
420,30,480.0,flat,80.0,True,2,1,Toledo,Las Ventas de Retamosa,False,45337,False,good,False,False,False,False,1,False,True,True
421,25,750.0,flat,89.0,True,2,2,Madrid,Getafe,False,12878,True,good,False,False,False,False,2,True,unknown,unknown
422,32,700.0,flat,55.0,True,1,1,Madrid,Valdemorillo,False,32004,True,good,False,False,False,False,1,True,unknown,unknown
423,34,750.0,flat,90.0,True,3,2,Madrid,Campo Real,False,28736,False,good,False,False,False,False,2,True,True,True
424,28,750.0,flat,48.0,True,2,1,Madrid,Madrid,False,6832,False,good,False,False,False,False,2,True,unknown,unknown
425,27,625.0,flat,57.0,True,2,1,Madrid,Aranjuez,False,43647,False,good,False,False,False,False,bj,False,unknown,unknown
426,20,750.0,flat,46.0,True,1,1,Madrid,San Sebastián de los Reyes,False,16127,False,good,False,True,False,False,1,False,True,True
427,7,695.0,flat,59.0,True,1,1,Madrid,Madrid,True,8595,False,good,False,False,False,False,4,True,True,True
428,10,450.0,flat,40.0,True,1,1,Madrid,Robledo de Chavela,False,46273,True,good,False,False,False,False,1,False,unknown,unknown
429,15,720.0,flat,58.0,True,2,1,Madrid,Alcorcón,False,13451,True,good,False,False,False,False,bj,False,unknown,unknown
430,20,745.0,flat,73.0,True,2,1,Madrid,Alcalá de Henares,False,28800,False,good,False,False,True,False,2,True,True,True
431,19,720.0,flat,69.6,True,2,1,Madrid,Alcalá de Henares,False,28624,False,good,False,False,True,False,2,True,True,True
432,23,750.0,flat,55.0,True,2,1,Madrid,Madrid,False,7462,False,good,False,False,False,False,1,False,unknown,unknown
433,19,720.0,studio,48.0,True,0,1,Madrid,Madrid,True,5808,False,good,False,False,False,False,1,True,True,True
434,17,725.0,studio,44.0,False,0,1,Madrid,Madrid,True,1140,False,good,False,False,False,False,8,True,unknown,unknown
435,14,750.0,flat,80.0,False,2,1,Madrid,Madrid,True,8011,False,good,False,False,False,False,5,True,True,True
436,14,550.0,flat,86.0,True,2,1,Madrid,Torrelaguna,False,47448,False,good,False,False,False,False,1,True,unknown,unknown
437,16,640.0,flat,69.0,True,2,1,Madrid,Villalbilla,True,29311,False,good,False,False,False,False,2,True,True,True
438,19,700.0,flat,54.0,True,1,1,Madrid,Getafe,False,11656,True,good,False,True,False,True,1,True,unknown,unknown
439,16,700.0,flat,59.0,True,1,1,Madrid,Madrid,True,7529,False,good,False,False,False,False,6,True,True,True
440,11,700.0,flat,75.0,True,2,1,Madrid,Alcalá de Henares,True,30359,False,good,False,False,False,False,1,False,unknown,unknown
441,19,695.0,flat,62.0,False,2,1,Madrid,Alcobendas,True,15162,False,good,False,False,False,False,3,False,unknown,unknown
